index,car_name,year_manufacture,fuel_type,transmission,ownership,engine,number_seats,kms_driven,car_price
0,743,20,1,1,1,60,2,86.226,12.035999999999998
1,1444,24,4,0,1,19,2,13.248,15.396
2,1706,19,4,0,1,88,2,60.343,19.679999999999996
3,385,21,4,0,1,14,2,26.696,9.324
4,1831,19,4,1,1,14,2,69.414,6.180000000000001
5,1857,20,4,0,1,12,2,49.719,9.192
6,1858,20,4,0,1,12,2,43.688,9.096
7,396,24,1,1,1,41,2,14.47,13.92
8,346,18,4,0,1,40,2,21.429,8.388
9,1439,20,4,0,1,41,2,31.75,9.036
10,996,20,4,1,1,12,2,38.203,7.716
11,346,17,4,0,1,40,2,110.284,6.516
12,917,23,4,1,1,12,2,10.381,10.343999999999998
13,727,22,4,0,1,24,2,32.378,20.136
14,330,23,4,1,1,41,2,38.906,12.035999999999998
15,486,19,4,0,2,12,2,59.313,6.756
16,656,20,1,1,1,29,2,85.672,8.004
17,1042,20,4,1,2,25,2,34.971,8.076
18,1401,18,4,1,2,13,2,35.894,3.852
19,1049,22,4,0,1,36,2,56.0,10.2
20,1183,17,4,1,1,12,2,56.568,5.208
21,1459,20,4,1,1,131,2,48.872,3.732
22,1458,22,4,1,1,131,2,17.346,4.44
23,740,22,1,1,1,60,2,15.414,19.056
24,480,21,4,1,1,12,2,21.239,6.492
25,981,17,4,1,1,137,2,62.361,2.676
26,577,18,4,1,2,47,2,79.329,7.056
27,539,24,4,0,1,71,2,11.945,27.336
28,1184,21,4,1,1,12,2,51.324,7.344
29,1392,24,4,1,1,138,2,5.717,8.928
30,347,19,4,0,1,40,2,46.417,10.068
31,270,18,4,1,1,13,2,100.161,5.04
32,504,19,4,1,1,12,2,35.424,5.892
33,454,20,4,1,1,132,2,51.085,3.516
34,972,19,4,1,1,130,2,30.983,3.576
35,1457,19,4,1,1,131,2,32.681,3.12
36,460,17,4,1,2,132,2,57.581,2.856
37,373,19,4,0,1,14,2,39.821,7.26
38,972,21,4,1,1,130,2,21.186,3.876
39,1457,21,4,1,1,131,2,34.972,3.912
40,270,18,4,1,2,13,2,46.623,5.052
41,755,22,4,1,1,22,2,18.557,18.636
42,732,20,1,1,1,60,2,58.463,14.916
43,807,23,4,0,1,34,3,5.0,22.2
44,1574,22,1,1,1,60,2,66.0,19.08
45,1439,22,4,0,1,41,2,14.0,10.68
46,61,22,1,0,1,67,2,61.0,51.6
47,663,20,1,1,1,29,2,65.392,7.2
48,1321,21,4,0,1,65,2,37.0,32.4
49,1279,23,4,1,1,36,3,9.0,13.08
50,485,20,4,0,1,12,2,32.0,7.08
51,945,15,1,1,1,74,4,68.0,7.8
